Y(OUTPUT)	X1(DYNAMIC)	X2(DYNAMIC)	W1(STATIC)	W2(STATIC)	THETA(STATIC)
0	-1.000000	-1.000000	1.000000	1.000000	1.000000
0	-1.000000	-0.900000	1.000000	1.000000	1.000000
0	-1.000000	-0.800000	1.000000	1.000000	1.000000
0	-1.000000	-0.700000	1.000000	1.000000	1.000000
0	-1.000000	-0.600000	1.000000	1.000000	1.000000
0	-1.000000	-0.500000	1.000000	1.000000	1.000000
0	-1.000000	-0.400000	1.000000	1.000000	1.000000
0	-1.000000	-0.300000	1.000000	1.000000	1.000000
0	-1.000000	-0.200000	1.000000	1.000000	1.000000
0	-1.000000	-0.100000	1.000000	1.000000	1.000000
0	-1.000000	-0.000000	1.000000	1.000000	1.000000
0	-1.000000	0.100000	1.000000	1.000000	1.000000
0	-1.000000	0.200000	1.000000	1.000000	1.000000
0	-1.000000	0.300000	1.000000	1.000000	1.000000
0	-1.000000	0.400000	1.000000	1.000000	1.000000
0	-1.000000	0.500000	1.000000	1.000000	1.000000
0	-1.000000	0.600000	1.000000	1.000000	1.000000
0	-1.000000	0.700000	1.000000	1.000000	1.000000
0	-1.000000	0.800000	1.000000	1.000000	1.000000
0	-1.000000	0.900000	1.000000	1.000000	1.000000
0	-1.000000	1.000000	1.000000	1.000000	1.000000
0	-0.900000	-1.000000	1.000000	1.000000	1.000000
0	-0.900000	-0.900000	1.000000	1.000000	1.000000
0	-0.900000	-0.800000	1.000000	1.000000	1.000000
0	-0.900000	-0.700000	1.000000	1.000000	1.000000
0	-0.900000	-0.600000	1.000000	1.000000	1.000000
0	-0.900000	-0.500000	1.000000	1.000000	1.000000
0	-0.900000	-0.400000	1.000000	1.000000	1.000000
0	-0.900000	-0.300000	1.000000	1.000000	1.000000
0	-0.900000	-0.200000	1.000000	1.000000	1.000000
0	-0.900000	-0.100000	1.000000	1.000000	1.000000
0	-0.900000	-0.000000	1.000000	1.000000	1.000000
0	-0.900000	0.100000	1.000000	1.000000	1.000000
0	-0.900000	0.200000	1.000000	1.000000	1.000000
0	-0.900000	0.300000	1.000000	1.000000	1.000000
0	-0.900000	0.400000	1.000000	1.000000	1.000000
0	-0.900000	0.500000	1.000000	1.000000	1.000000
0	-0.900000	0.600000	1.000000	1.000000	1.000000
0	-0.900000	0.700000	1.000000	1.000000	1.000000
0	-0.900000	0.800000	1.000000	1.000000	1.000000
0	-0.900000	0.900000	1.000000	1.000000	1.000000
0	-0.900000	1.000000	1.000000	1.000000	1.000000
0	-0.800000	-1.000000	1.000000	1.000000	1.000000
0	-0.800000	-0.900000	1.000000	1.000000	1.000000
0	-0.800000	-0.800000	1.000000	1.000000	1.000000
0	-0.800000	-0.700000	1.000000	1.000000	1.000000
0	-0.800000	-0.600000	1.000000	1.000000	1.000000
0	-0.800000	-0.500000	1.000000	1.000000	1.000000
