W1	W2
1.000000 10.000000
1.000000 10.000000
1.000000 9.000000
1.000000 8.200000
1.000000 7.560000
1.000000 7.048000
1.000000 6.638400
1.000000 6.310720
1.000000 6.048576
1.000000 5.838861
1.000000 5.671089
1.000000 5.536871
1.000000 5.429497
1.000000 5.343597
1.000000 5.274878
1.000000 5.219902
1.000000 5.175922
1.000000 5.140737
1.000000 5.112590
1.000000 5.090072
1.000000 5.072058
1.000000 5.057646
1.000000 5.046117
1.000000 5.036893
1.000000 5.029515
1.000000 5.023612
1.000000 5.018889
1.000000 5.015112
1.000000 5.012089
1.000000 5.009671
1.000000 5.007737
1.000000 5.006190
1.000000 5.004952
1.000000 5.003961
1.000000 5.003169
1.000000 5.002535
1.000000 5.002028
1.000000 5.001623
1.000000 5.001298
1.000000 5.001038
1.000000 5.000831
1.000000 5.000665
1.000000 5.000532
1.000000 5.000425
1.000000 5.000340
1.000000 5.000272
1.000000 5.000218
1.000000 5.000174
1.000000 5.000139
1.000000 5.000112
1.000000 5.000089
1.000000 5.000071
1.000000 5.000057
1.000000 5.000046
1.000000 5.000037
1.000000 5.000029
1.000000 5.000023
1.000000 5.000019
1.000000 5.000015
1.000000 5.000012
1.000000 5.000010
1.000000 5.000008
1.000000 5.000006
1.000000 5.000005
1.000000 5.000004
1.000000 5.000003
1.000000 5.000003
1.000000 5.000002
1.000000 5.000002
1.000000 5.000001
1.000000 5.000001
1.000000 5.000001
1.000000 5.000001
1.000000 5.000001
