X1	X2	TARGET	Y
+1.115299	-2.595447	-0.869564	+1.000000
-4.244057	+0.301675	+0.434309	+1.000000
-3.682516	-2.045198	+0.591052	+1.000000
+2.914365	-2.755058	-0.111179	+1.000000
+0.208899	-2.059542	-0.363994	+1.000000
-2.174596	+3.137150	-0.985717	+1.000000
-0.189062	-3.037660	-0.964599	+1.000000
+3.938871	-1.483657	+0.285195	+1.000000
-2.875301	-1.207465	+0.612598	+1.000000
+3.353221	-3.681600	-0.265053	+1.000000
+1.873379	+2.094638	-0.665517	+1.000000
+0.008393	+3.074892	+0.104038	+1.000000
+0.271157	+0.130161	-0.925291	+1.000000
+1.049989	+0.961180	+0.789789	+1.000000
-2.317423	+4.670705	+0.414411	+1.000000
-3.313852	+2.201758	-0.803217	+1.000000
-0.706046	-3.922697	+0.804926	+1.000000
-0.437178	-4.609058	-0.751518	+1.000000
+3.417920	+3.716086	+0.093173	+1.000000
+1.508072	+3.715781	+0.570727	+1.000000
-1.994842	-0.200964	-0.948485	+1.000000
+4.657277	+4.056063	+0.460982	+1.000000
+3.610187	-3.355052	+0.421369	+1.000000
+1.719565	-0.202185	+0.443098	+1.000000
-3.293710	+3.452101	+0.308817	+1.000000
+2.746208	-4.873959	+0.246498	+1.000000
-2.890866	-4.725028	-0.176977	+1.000000
-0.543687	+0.854366	+0.674978	+1.000000
+3.594012	-4.815973	-0.133396	+1.000000
-0.796075	-2.274087	-0.694510	+1.000000
+3.850063	+1.860866	-0.774224	+1.000000
-4.696951	-1.151006	-0.479354	+1.000000
-0.067598	+0.374615	+0.816706	+1.000000
+4.903562	+4.729301	+0.291787	+1.000000
-0.394452	+4.835200	+0.366008	+1.000000
-3.833583	-1.452528	-0.368633	+1.000000
-1.313059	-0.701773	-0.795892	+1.000000
-0.587024	+2.059236	+0.982055	+1.000000
+0.919675	-1.056398	-0.542650	+1.000000
-1.594134	+0.109104	-0.749504	+1.000000
+1.299936	-1.596271	-0.989624	+1.000000
+4.291055	+0.432600	-0.019257	+1.000000
-2.600940	-0.536363	+0.410749	+1.000000
+2.151097	+1.463210	-0.462508	+1.000000
+2.298502	-2.607654	-0.344157	+1.000000
+4.916074	+0.478683	+0.397565	+1.000000
+3.559221	-4.808954	+0.791742	+1.000000
-2.246010	+3.908658	-0.041963	+1.000000
-3.579058	-0.714896	-0.290201	+1.000000
+4.288919	-2.823420	-0.064791	+1.000000

