X1	X2	TARGET	Y1	
-0.600000	-0.400000	+0.000000	+0.007259	
-2.000000	-0.800000	+0.000000	+0.007213	
-0.400000	+1.400000	+0.000000	+0.007312	
-1.000000	-0.400000	+0.000000	+0.007321	
+0.400000	+0.600000	+0.000000	+0.007466	
+1.400000	+1.200000	+0.000000	+0.007573	
+0.200000	+1.600000	+0.000000	+0.007469	
-1.800000	-1.400000	+0.000000	+0.007205	
+1.800000	+0.200000	+0.000000	+0.007746	
+1.000000	-1.000000	+0.000000	+0.007372	
-2.000000	-1.400000	+0.000000	+0.007196	
-0.400000	-2.000000	+0.000000	+0.007103	
+0.600000	+1.000000	+0.000000	+0.007357	
-1.200000	+0.800000	+1.000000	+0.992787	
+0.000000	+1.600000	+0.000000	+0.007369	
+0.800000	+1.800000	+0.000000	+0.007633	
+1.400000	+0.200000	+0.000000	+0.007757	
+1.000000	+1.400000	+0.000000	+0.007609	
+0.200000	+1.200000	+0.000000	+0.007431	
+0.000000	+0.400000	+0.000000	+0.007416	
+0.200000	+0.000000	+0.000000	+0.007478	
+0.200000	-1.400000	+0.000000	+0.007248	
-0.200000	-2.000000	+0.000000	+0.007101	
+1.200000	+0.800000	+0.000000	+0.007500	
+0.400000	+1.400000	+0.000000	+0.007500	
-2.000000	+1.800000	+1.000000	+0.992793	
-0.800000	+1.200000	+0.000000	+0.007409	
+1.000000	-1.600000	+0.000000	+0.007324	
+1.600000	-2.000000	+0.000000	+0.007347	
-1.000000	-2.000000	+0.000000	+0.007243	
+1.200000	-1.000000	+0.000000	+0.007380	
+0.600000	+0.800000	+0.000000	+0.007497	
-1.600000	-1.600000	+0.000000	+0.007212	
+1.600000	+0.800000	+0.000000	+0.007565	
-1.400000	+0.000000	+0.000000	+0.007405	
-1.200000	-0.600000	+0.000000	+0.007276	
+1.800000	+1.600000	+0.000000	+0.007515	
+0.000000	-0.200000	+0.000000	+0.007325	
-0.200000	+1.800000	+0.000000	+0.007313	
-2.000000	+0.200000	+1.000000	+0.992712	
-1.800000	-0.800000	+0.000000	+0.007227	
+1.200000	+1.800000	+0.000000	+0.007662	
+1.800000	+0.200000	+0.000000	+0.007784	
+1.000000	+1.200000	+0.000000	+0.007507	
+0.200000	-0.400000	+0.000000	+0.007324	
+0.000000	+0.400000	+0.000000	+0.007424	
-1.000000	-1.200000	+0.000000	+0.007261	
-1.200000	+1.400000	+0.000000	+0.007376	
-1.200000	+1.000000	+1.000000	+0.992791	
+1.000000	+0.800000	+0.000000	+0.007541	
-2.000000	+0.000000	+0.000000	+0.007369	
-1.200000	-0.800000	+0.000000	+0.007267	
+1.200000	+1.200000	+0.000000	+0.007596	
-1.600000	+1.600000	+0.000000	+0.007362	
+0.800000	-0.800000	+0.000000	+0.007371	
-1.800000	-0.600000	+0.000000	+0.007243	
-0.800000	-1.800000	+0.000000	+0.007240	
+0.800000	+0.600000	+0.000000	+0.007545	
+0.800000	+1.000000	+0.000000	+0.007520	
+0.200000	-0.600000	+0.000000	+0.007312	
-1.800000	+0.800000	+1.000000	+0.992773	
+0.200000	+1.000000	+0.000000	+0.007400	
+0.600000	+1.600000	+0.000000	+0.007589	
+1.200000	+1.000000	+0.000000	+0.007563	
-2.000000	+0.800000	+1.000000	+0.992776	
-1.000000	+0.800000	+1.000000	+0.992795	
+1.400000	+1.800000	+0.000000	+0.007486	
+1.000000	+1.400000	+0.000000	+0.007598	
+1.400000	+1.800000	+0.000000	+0.007633	
+1.400000	-1.800000	+0.000000	+0.007345	
+1.200000	-1.400000	+0.000000	+0.007359	
+0.600000	+0.200000	+0.000000	+0.007704	
+0.600000	-1.000000	+0.000000	+0.007342	
-0.200000	+0.200000	+0.000000	+0.007408	
-0.600000	-2.000000	+0.000000	+0.007179	
-1.200000	-1.000000	+0.000000	+0.007258	
-0.400000	-0.200000	+0.000000	+0.007238	
-2.000000	+0.000000	+0.000000	+0.007372	
+0.200000	-1.600000	+0.000000	+0.007248	
-0.600000	+0.400000	+1.000000	+0.992779	
+0.200000	+0.600000	+0.000000	+0.007366	
-1.000000	+0.400000	+1.000000	+0.992756	
+1.200000	-1.400000	+0.000000	+0.007359	
+0.800000	+1.000000	+0.000000	+0.007521	
-1.200000	-0.600000	+0.000000	+0.007282	
+0.800000	-1.000000	+0.000000	+0.007347	
-1.000000	+0.000000	+0.000000	+0.007437	
+1.400000	+0.000000	+0.000000	+0.007627	
-1.000000	+0.800000	+1.000000	+0.992793	
-0.400000	+0.600000	+0.000000	+0.007248	
+0.400000	+0.400000	+0.000000	+0.007590	
-1.600000	+1.000000	+1.000000	+0.992786	
-2.000000	+1.800000	+1.000000	+0.992795	
-0.800000	+1.200000	+0.000000	+0.007403	
-0.800000	-1.400000	+0.000000	+0.007253	
-1.000000	+1.400000	+0.000000	+0.007432	
-1.800000	-2.000000	+0.000000	+0.007185	
-1.200000	-0.600000	+0.000000	+0.007284	
-1.000000	+1.000000	+0.000000	+0.007370	
+0.800000	+1.200000	+0.000000	+0.007563	
