Epoch	ERROR
00000000	38.692910
00000001	40.019230
00000002	41.662029
00000003	42.898040
00000004	43.404960
00000005	43.497023
00000006	43.417891
00000007	43.258187
00000008	43.048313
00000009	42.801934
00000010	42.529960
00000011	42.244131
00000012	41.956931
00000013	41.680175
00000014	41.423428
00000015	41.192896
00000016	40.991088
00000017	40.817219
00000018	40.668149
00000019	40.539541
00000020	40.426921
00000021	40.326408
00000022	40.234998
00000023	40.150532
00000024	40.071501
00000025	39.996839
00000026	39.925755
00000027	39.857625
00000028	39.791922
00000029	39.728177
00000030	39.665963
00000031	39.604883
00000032	39.544571
00000033	39.484694
00000034	39.424965
00000035	39.365152
00000036	39.305096
00000037	39.244727
00000038	39.184074
00000039	39.123271
00000040	39.062545
00000041	39.002194
00000042	38.942553
00000043	38.883953
00000044	38.826685
00000045	38.770976
00000046	38.716980
00000047	38.664777
00000048	38.614385
00000049	38.565779
00000050	38.518906
00000051	38.473705
00000052	38.430120
00000053	38.388108
00000054	38.347652
00000055	38.308759
00000056	38.271467
00000057	38.235839
00000058	38.201965
00000059	38.169954
00000060	38.139933
00000061	38.112038
00000062	38.086413
00000063	38.063199
00000064	38.042536
00000065	38.024554
00000066	38.009368
00000067	37.997080
00000068	37.987771
00000069	37.981500
00000070	37.978304
00000071	37.978193
00000072	37.981153
00000073	37.987140
00000074	37.996084
00000075	38.007885
00000076	38.022416
00000077	38.039523
00000078	38.059025
00000079	38.080716
00000080	38.104365
00000081	38.129718
00000082	38.156501
00000083	38.184417
00000084	38.213148
00000085	38.242356
00000086	38.271680
00000087	38.300734
00000088	38.329110
00000089	38.356377
00000090	38.382093
00000091	38.405817
00000092	38.427137
00000093	38.445700
00000094	38.461253
00000095	38.473674
00000096	38.482994
00000097	38.489398
00000098	38.493206
00000099	38.494839
00000100	38.494774
00000101	38.493502
00000102	38.491492
00000103	38.489167
00000104	38.486888
00000105	38.484954
00000106	38.483600
00000107	38.483007
00000108	38.483306
00000109	38.484591
00000110	38.486922
00000111	38.490333
00000112	38.494841
00000113	38.500443
00000114	38.507130
00000115	38.514877
00000116	38.523657
00000117	38.533436
00000118	38.544172
00000119	38.555825
00000120	38.568348
00000121	38.581691
00000122	38.595803
00000123	38.610631
00000124	38.626117
00000125	38.642204
00000126	38.658829
00000127	38.675931
00000128	38.693444
00000129	38.711302
00000130	38.729438
00000131	38.747784
00000132	38.766271
00000133	38.784832
00000134	38.803403
00000135	38.821920
00000136	38.840322
00000137	38.858554
00000138	38.876565
00000139	38.894310
00000140	38.911749
00000141	38.928850
00000142	38.945588
00000143	38.961945
00000144	38.977912
00000145	38.993486
00000146	39.008673
00000147	39.023488
00000148	39.037949
00000149	39.052085
00000150	39.065930
00000151	39.079523
00000152	39.092911
00000153	39.106145
00000154	39.119279
00000155	39.132374
00000156	39.145494
00000157	39.158706
00000158	39.172080
00000159	39.185689
00000160	39.199610
00000161	39.213922
00000162	39.228705
00000163	39.244045
00000164	39.260027
00000165	39.276743
00000166	39.294284
00000167	39.312748
00000168	39.332233
00000169	39.352844
00000170	39.374690
00000171	39.397881
00000172	39.422538
00000173	39.448782
00000174	39.476742
00000175	39.506553
00000176	39.538356
00000177	39.572295
00000178	39.608524
00000179	39.647199
00000180	39.688480
00000181	39.732532
00000182	39.779520
00000183	39.829608
00000184	39.882959
00000185	39.939725
00000186	40.000051
00000187	40.064068
00000188	40.131886
00000189	40.203591
00000190	40.279245
00000191	40.358872
00000192	40.442468
00000193	40.529987
00000194	40.621351
00000195	40.716447
00000196	40.815132
00000197	40.917240
00000198	41.022591
00000199	41.130995
00000200	41.242263
00000201	41.356212
00000202	41.472671
00000203	41.591475
00000204	41.712471
00000205	41.835503
00000206	41.960410
00000207	42.087012
00000208	42.215097
00000209	42.344415
00000210	42.474671
00000211	42.605516
00000212	42.736550
00000213	42.867322
00000214	42.997336
00000215	43.126052
00000216	43.252887
00000217	43.377204
00000218	43.498296
00000219	43.615355
00000220	43.727432
00000221	43.833395
00000222	43.931907
00000223	44.021446
00000224	44.100404
00000225	44.167281
00000226	44.220959
00000227	44.260972
00000228	44.287663
00000229	44.302151
00000230	44.306105
00000231	44.301448
00000232	44.290083
00000233	44.273718
00000234	44.253793
00000235	44.231470
00000236	44.207661
00000237	44.183068
00000238	44.158220
00000239	44.133508
00000240	44.109209
00000241	44.085518
00000242	44.062559
00000243	44.040407
00000244	44.019096
00000245	43.998635
00000246	43.979011
00000247	43.960199
00000248	43.942164
00000249	43.924868
00000250	43.908268
00000251	43.892322
00000252	43.876989
00000253	43.862229
00000254	43.848005
00000255	43.834280
00000256	43.821022
00000257	43.808201
00000258	43.795790
00000259	43.783762
00000260	43.772094
00000261	43.760766
00000262	43.749758
00000263	43.739051
00000264	43.728631
00000265	43.718482
00000266	43.708590
00000267	43.698944
00000268	43.689532
00000269	43.680343
00000270	43.671367
00000271	43.662597
00000272	43.654023
00000273	43.645637
00000274	43.637433
00000275	43.629404
00000276	43.621544
00000277	43.613847
00000278	43.606307
00000279	43.598919
00000280	43.591679
00000281	43.584582
00000282	43.577624
00000283	43.570800
00000284	43.564108
00000285	43.557543
00000286	43.551102
00000287	43.544782
00000288	43.538580
00000289	43.532493
00000290	43.526519
00000291	43.520655
00000292	43.514898
00000293	43.509248
00000294	43.503700
00000295	43.498255
00000296	43.492909
00000297	43.487661
00000298	43.482510
00000299	43.477455
00000300	43.472493
00000301	43.467624
00000302	43.462848
00000303	43.458162
00000304	43.453567
00000305	43.449062
00000306	43.444646
00000307	43.440319
00000308	43.436081
00000309	43.431933
00000310	43.427873
00000311	43.423902
00000312	43.420021
00000313	43.416230
00000314	43.412531
00000315	43.408923
00000316	43.405408
00000317	43.401987
00000318	43.398661
00000319	43.395432
00000320	43.392301
00000321	43.389269
00000322	43.386340
00000323	43.383513
00000324	43.380790
00000325	43.378175
00000326	43.375667
00000327	43.373269
00000328	43.370981
00000329	43.368805
00000330	43.366741
00000331	43.364789
00000332	43.362949
00000333	43.361220
00000334	43.359601
00000335	43.358088
00000336	43.356679
00000337	43.355368
00000338	43.354151
00000339	43.353022
00000340	43.351971
00000341	43.350992
00000342	43.350074
00000343	43.349206
00000344	43.348378
00000345	43.347578
00000346	43.346793
00000347	43.346010
00000348	43.345217
00000349	43.344401
00000350	43.343550
00000351	43.342653
00000352	43.341699
00000353	43.340678
00000354	43.339581
00000355	43.338401
00000356	43.337131
00000357	43.335765
00000358	43.334300
00000359	43.332733
00000360	43.331061
00000361	43.329283
00000362	43.327400
00000363	43.325411
00000364	43.323319
00000365	43.321125
00000366	43.318831
00000367	43.316442
00000368	43.313961
00000369	43.311391
00000370	43.308737
00000371	43.306003
00000372	43.303195
00000373	43.300318
00000374	43.297377
00000375	43.294377
00000376	43.291325
00000377	43.288227
00000378	43.285088
00000379	43.281916
00000380	43.278715
00000381	43.275492
00000382	43.272254
00000383	43.269006
00000384	43.265754
00000385	43.262503
00000386	43.259259
00000387	43.256026
00000388	43.252807
00000389	43.249607
00000390	43.246428
00000391	43.243273
00000392	43.240143
00000393	43.237040
00000394	43.233963
00000395	43.230913
00000396	43.227889
00000397	43.224890
00000398	43.221915
00000399	43.218962
00000400	43.216031
00000401	43.213119
00000402	43.210225
00000403	43.207347
00000404	43.204486
00000405	43.201640
00000406	43.198809
00000407	43.195992
00000408	43.193191
00000409	43.190407
00000410	43.187640
00000411	43.184893
00000412	43.182168
00000413	43.179467
00000414	43.176793
00000415	43.174149
00000416	43.171539
00000417	43.168966
00000418	43.166435
00000419	43.163948
00000420	43.161511
00000421	43.159126
00000422	43.156798
00000423	43.154530
00000424	43.152326
00000425	43.150189
00000426	43.148121
00000427	43.146126
00000428	43.144205
00000429	43.142360
00000430	43.140590
00000431	43.138895
00000432	43.137276
00000433	43.135729
00000434	43.134252
00000435	43.132841
00000436	43.131492
00000437	43.130199
00000438	43.128956
00000439	43.127756
00000440	43.126591
00000441	43.125454
00000442	43.124335
00000443	43.123226
00000444	43.122118
00000445	43.121002
00000446	43.119871
00000447	43.118716
00000448	43.117530
00000449	43.116305
00000450	43.115037
00000451	43.113719
00000452	43.112346
00000453	43.110916
00000454	43.109425
00000455	43.107870
00000456	43.106251
00000457	43.104566
00000458	43.102815
00000459	43.100999
00000460	43.099117
00000461	43.097171
00000462	43.095162
00000463	43.093093
00000464	43.090964
00000465	43.088777
00000466	43.086536
00000467	43.084241
00000468	43.081896
00000469	43.079502
00000470	43.077061
00000471	43.074576
00000472	43.072048
00000473	43.069479
00000474	43.066872
00000475	43.064228
00000476	43.061548
00000477	43.058834
00000478	43.056087
00000479	43.053309
00000480	43.050500
00000481	43.047663
00000482	43.044796
00000483	43.041902
00000484	43.038981
00000485	43.036033
00000486	43.033060
00000487	43.030060
00000488	43.027035
00000489	43.023984
00000490	43.020907
00000491	43.017806
00000492	43.014678
00000493	43.011524
00000494	43.008344
00000495	43.005137
00000496	43.001902
00000497	42.998639
00000498	42.995348
00000499	42.992026
00000500	42.988675
00000501	42.985291
00000502	42.981876
00000503	42.978426
00000504	42.974941
00000505	42.971420
00000506	42.967861
00000507	42.964263
00000508	42.960624
00000509	42.956941
00000510	42.953214
00000511	42.949441
00000512	42.945618
00000513	42.941745
00000514	42.937818
00000515	42.933835
00000516	42.929793
00000517	42.925690
00000518	42.921522
00000519	42.917287
00000520	42.912980
00000521	42.908599
00000522	42.904139
00000523	42.899597
00000524	42.894968
00000525	42.890248
00000526	42.885431
00000527	42.880513
00000528	42.875488
00000529	42.870350
00000530	42.865094
00000531	42.859711
00000532	42.854196
00000533	42.848541
00000534	42.842736
00000535	42.836775
00000536	42.830647
00000537	42.824342
00000538	42.817849
00000539	42.811158
00000540	42.804256
00000541	42.797128
00000542	42.789762
00000543	42.782141
00000544	42.774249
00000545	42.766068
00000546	42.757578
00000547	42.748760
00000548	42.739590
00000549	42.730044
00000550	42.720097
00000551	42.709720
00000552	42.698884
00000553	42.687557
00000554	42.675705
00000555	42.663292
00000556	42.650280
00000557	42.636628
00000558	42.622295
00000559	42.607238
00000560	42.591411
00000561	42.574770
00000562	42.557268
00000563	42.538858
00000564	42.519496
00000565	42.499135
00000566	42.477730
00000567	42.455239
00000568	42.431615
00000569	42.406816
00000570	42.380793
00000571	42.353494
00000572	42.324857
00000573	42.294806
00000574	42.263246
00000575	42.230051
00000576	42.195058
00000577	42.158051
00000578	42.118741
00000579	42.076735
00000580	42.031504
00000581	41.982338
00000582	41.928303
00000583	41.868207
00000584	41.800584
00000585	41.723710
00000586	41.635662
00000587	41.534452
00000588	41.418268
00000589	41.285819
00000590	41.136793
00000591	40.972332
00000592	40.795367
00000593	40.610604
00000594	40.424002
00000595	40.241815
00000596	40.069506
00000597	39.910945
00000598	39.768128
00000599	39.641389
00000600	39.529878
00000601	39.432079
00000602	39.346211
00000603	39.270504
00000604	39.203331
00000605	39.143266
00000606	39.089090
00000607	39.039772
00000608	38.994444
00000609	38.952371
00000610	38.912929
00000611	38.875587
00000612	38.839891
00000613	38.805457
00000614	38.771960
00000615	38.739137
00000616	38.706783
00000617	38.674752
00000618	38.642959
00000619	38.611380
00000620	38.580050
00000621	38.549058
00000622	38.518536
00000623	38.488646
00000624	38.459566
00000625	38.431471
00000626	38.404518
00000627	38.378838
00000628	38.354522
00000629	38.331624
00000630	38.310160
00000631	38.290111
00000632	38.271429
00000633	38.254047
00000634	38.237882
00000635	38.222841
00000636	38.208831
00000637	38.195756
00000638	38.183525
00000639	38.172052
00000640	38.161257
00000641	38.151068
00000642	38.141419
00000643	38.132252
00000644	38.123514
00000645	38.115162
00000646	38.107154
00000647	38.099457
00000648	38.092040
00000649	38.084876
00000650	38.077942
00000651	38.071220
00000652	38.064690
00000653	38.058339
00000654	38.052154
00000655	38.046122
00000656	38.040233
00000657	38.034479
00000658	38.028852
00000659	38.023344
00000660	38.017950
00000661	38.012664
00000662	38.007481
00000663	38.002396
00000664	37.997405
00000665	37.992505
00000666	37.987691
00000667	37.982962
00000668	37.978313
00000669	37.973742
00000670	37.969247
00000671	37.964825
00000672	37.960474
00000673	37.956191
00000674	37.951975
00000675	37.947824
00000676	37.943735
00000677	37.939707
00000678	37.935739
00000679	37.931829
00000680	37.927975
00000681	37.924175
00000682	37.920429
00000683	37.916734
00000684	37.913090
00000685	37.909496
00000686	37.905949
00000687	37.902449
00000688	37.898995
00000689	37.895585
00000690	37.892219
00000691	37.888895
00000692	37.885612
00000693	37.882369
00000694	37.879166
00000695	37.876001
00000696	37.872873
00000697	37.869782
00000698	37.866726
00000699	37.863706
00000700	37.860719
00000701	37.857765
00000702	37.854843
00000703	37.851953
00000704	37.849094
00000705	37.846265
00000706	37.843466
00000707	37.840695
00000708	37.837952
00000709	37.835236
00000710	37.832547
00000711	37.829885
00000712	37.827248
00000713	37.824635
00000714	37.822048
00000715	37.819483
00000716	37.816943
00000717	37.814425
00000718	37.811929
00000719	37.809455
00000720	37.807002
00000721	37.804570
00000722	37.802158
00000723	37.799766
00000724	37.797393
00000725	37.795039
00000726	37.792704
00000727	37.790387
00000728	37.788087
00000729	37.785805
00000730	37.783540
00000731	37.781291
00000732	37.779059
00000733	37.776842
00000734	37.774641
00000735	37.772455
00000736	37.770284
00000737	37.768128
00000738	37.765985
00000739	37.763857
00000740	37.761742
00000741	37.759640
00000742	37.757552
00000743	37.755476
00000744	37.753412
00000745	37.751361
00000746	37.749321
00000747	37.747294
00000748	37.745277
00000749	37.743272
00000750	37.741278
00000751	37.739295
00000752	37.737321
00000753	37.735359
00000754	37.733406
00000755	37.731463
00000756	37.729530
00000757	37.727606
00000758	37.725691
00000759	37.723785
00000760	37.721888
00000761	37.720000
00000762	37.718120
00000763	37.716248
00000764	37.714385
00000765	37.712529
00000766	37.710681
00000767	37.708841
00000768	37.707008
00000769	37.705182
00000770	37.703363
00000771	37.701552
00000772	37.699747
00000773	37.697948
00000774	37.696157
00000775	37.694371
00000776	37.692592
00000777	37.690819
00000778	37.689052
00000779	37.687291
00000780	37.685535
00000781	37.683785
00000782	37.682041
00000783	37.680301
00000784	37.678567
00000785	37.676839
00000786	37.675115
00000787	37.673396
00000788	37.671682
00000789	37.669972
00000790	37.668267
00000791	37.666567
00000792	37.664871
00000793	37.663179
00000794	37.661491
00000795	37.659808
00000796	37.658129
00000797	37.656453
00000798	37.654782
00000799	37.653114
00000800	37.651450
00000801	37.649790
00000802	37.648133
00000803	37.646480
00000804	37.644830
00000805	37.643184
00000806	37.641540
00000807	37.639901
00000808	37.638264
00000809	37.636630
00000810	37.635000
00000811	37.633373
00000812	37.631748
00000813	37.630127
00000814	37.628508
00000815	37.626893
00000816	37.625280
00000817	37.623670
00000818	37.622063
00000819	37.620458
00000820	37.618856
00000821	37.617257
00000822	37.615661
00000823	37.614067
00000824	37.612476
00000825	37.610888
00000826	37.609302
00000827	37.607718
00000828	37.606138
00000829	37.604560
00000830	37.602984
00000831	37.601411
00000832	37.599841
00000833	37.598273
00000834	37.596708
00000835	37.595145
00000836	37.593586
00000837	37.592028
00000838	37.590474
