Epoch	ERROR1	
00000000	53.695382	
00000001	51.474281	
00000002	49.173719	
00000003	46.836264	
00000004	44.509643	
00000005	42.243803	
00000006	40.085938	
00000007	38.066435	
00000008	36.185077	
00000009	34.413481	
00000010	32.716631	
00000011	31.074077	
00000012	29.483417	
00000013	27.951027	
00000014	26.483598	
00000015	25.086386	
00000016	23.763919	
00000017	22.518928	
00000018	21.354177	
00000019	20.276318	
00000020	19.294429	
00000021	18.411205	
00000022	17.616796	
00000023	16.894490	
00000024	16.230631	
00000025	15.618387	
00000026	15.055500	
00000027	14.541457	
00000028	14.076617	
00000029	13.660982	
00000030	13.291666	
00000031	12.962538	
00000032	12.666226	
00000033	12.395770	
00000034	12.145099	
00000035	11.908850	
00000036	11.682019	
00000037	11.459707	
00000038	11.237284	
00000039	11.011440	
00000040	10.782254	
00000041	10.554597	
00000042	10.335620	
00000043	10.129479	
00000044	9.935153	
00000045	9.748278	
00000046	9.563605	
00000047	9.376995	
00000048	9.187689	
00000049	9.000053	
00000050	8.821813	
00000051	8.658935	
00000052	8.512779	
00000053	8.381543	
00000054	8.262544	
00000055	8.153357	
00000056	8.052081	
00000057	7.957286	
00000058	7.867896	
00000059	7.783092	
00000060	7.702230	
00000061	7.624795	
00000062	7.550359	
00000063	7.478555	
00000064	7.409057	
00000065	7.341563	
00000066	7.275781	
00000067	7.211411	
00000068	7.148133	
00000069	7.085578	
00000070	7.023307	
00000071	6.960763	
00000072	6.897219	
00000073	6.831695	
00000074	6.762859	
00000075	6.688920	
00000076	6.607618	
00000077	6.516542	
00000078	6.414195	
00000079	6.301994	
00000080	6.185773	
00000081	6.073933	
00000082	5.972734	
00000083	5.883939	
00000084	5.806274	
00000085	5.737566	
00000086	5.675811	
00000087	5.619446	
00000088	5.567319	
00000089	5.518590	
00000090	5.472642	
00000091	5.429016	
00000092	5.387366	
00000093	5.347424	
00000094	5.308979	
00000095	5.271866	
00000096	5.235948	
00000097	5.201115	
00000098	5.167273	
00000099	5.134344	
00000100	5.102262	
00000101	5.070970	
00000102	5.040416	
00000103	5.010558	
00000104	4.981357	
00000105	4.952777	
00000106	4.924788	
00000107	4.897361	
00000108	4.870471	
00000109	4.844096	
00000110	4.818212	
00000111	4.792801	
00000112	4.767845	
00000113	4.743326	
00000114	4.719229	
00000115	4.695539	
00000116	4.672242	
00000117	4.649326	
00000118	4.626777	
00000119	4.604585	
00000120	4.582739	
00000121	4.561228	
00000122	4.540043	
00000123	4.519174	
00000124	4.498612	
00000125	4.478350	
00000126	4.458378	
00000127	4.438690	
00000128	4.419277	
00000129	4.400133	
00000130	4.381251	
00000131	4.362625	
00000132	4.344248	
00000133	4.326115	
00000134	4.308219	
00000135	4.290555	
00000136	4.273117	
00000137	4.255901	
00000138	4.238902	
00000139	4.222114	
00000140	4.205533	
00000141	4.189155	
00000142	4.172975	
00000143	4.156989	
00000144	4.141193	
00000145	4.125583	
00000146	4.110155	
00000147	4.094905	
00000148	4.079831	
00000149	4.064928	
00000150	4.050193	
00000151	4.035622	
00000152	4.021214	
00000153	4.006964	
00000154	3.992869	
00000155	3.978927	
00000156	3.965135	
00000157	3.951490	
00000158	3.937989	
00000159	3.924629	
00000160	3.911409	
00000161	3.898326	
00000162	3.885377	
00000163	3.872559	
00000164	3.859872	
00000165	3.847311	
00000166	3.834876	
00000167	3.822564	
00000168	3.810373	
00000169	3.798300	
00000170	3.786345	
00000171	3.774505	
00000172	3.762778	
00000173	3.751162	
00000174	3.739656	
00000175	3.728258	
00000176	3.716966	
00000177	3.705778	
00000178	3.694693	
00000179	3.683709	
00000180	3.672825	
00000181	3.662039	
00000182	3.651349	
00000183	3.640755	
00000184	3.630254	
00000185	3.619845	
00000186	3.609528	
00000187	3.599300	
00000188	3.589160	
00000189	3.579108	
00000190	3.569141	
00000191	3.559258	
00000192	3.549459	
00000193	3.539742	
00000194	3.530105	
00000195	3.520549	
00000196	3.511071	
00000197	3.501671	
00000198	3.492348	
00000199	3.483100	
00000200	3.473926	
00000201	3.464826	
00000202	3.455798	
00000203	3.446842	
00000204	3.437956	
00000205	3.429140	
00000206	3.420392	
00000207	3.411713	
00000208	3.403100	
00000209	3.394553	
00000210	3.386072	
00000211	3.377654	
00000212	3.369301	
00000213	3.361010	
00000214	3.352781	
00000215	3.344613	
00000216	3.336505	
00000217	3.328457	
00000218	3.320468	
00000219	3.312537	
00000220	3.304664	
00000221	3.296847	
00000222	3.289087	
00000223	3.281382	
00000224	3.273731	
00000225	3.266135	
00000226	3.258592	
00000227	3.251102	
00000228	3.243664	
00000229	3.236278	
00000230	3.228943	
00000231	3.221658	
00000232	3.214423	
00000233	3.207237	
00000234	3.200100	
00000235	3.193011	
00000236	3.185970	
00000237	3.178975	
00000238	3.172028	
00000239	3.165126	
00000240	3.158269	
00000241	3.151458	
00000242	3.144691	
00000243	3.137968	
00000244	3.131289	
00000245	3.124653	
00000246	3.118059	
00000247	3.111508	
00000248	3.104998	
00000249	3.098529	
00000250	3.092102	
00000251	3.085714	
00000252	3.079367	
00000253	3.073059	
00000254	3.066790	
00000255	3.060560	
00000256	3.054368	
00000257	3.048214	
00000258	3.042098	
00000259	3.036019	
00000260	3.029976	
00000261	3.023970	
00000262	3.018000	
00000263	3.012066	
00000264	3.006167	
00000265	3.000303	
00000266	2.994473	
00000267	2.988678	
00000268	2.982917	
00000269	2.977189	
00000270	2.971495	
00000271	2.965834	
00000272	2.960205	
00000273	2.954608	
00000274	2.949044	
00000275	2.943511	
00000276	2.938010	
00000277	2.932539	
00000278	2.927100	
00000279	2.921691	
00000280	2.916312	
00000281	2.910964	
00000282	2.905644	
00000283	2.900355	
00000284	2.895094	
00000285	2.889862	
00000286	2.884659	
00000287	2.879484	
00000288	2.874338	
00000289	2.869219	
00000290	2.864127	
00000291	2.859063	
00000292	2.854026	
00000293	2.849016	
00000294	2.844033	
00000295	2.839075	
00000296	2.834144	
00000297	2.829239	
00000298	2.824360	
00000299	2.819506	
00000300	2.814677	
00000301	2.809873	
00000302	2.805094	
00000303	2.800339	
00000304	2.795609	
00000305	2.790903	
00000306	2.786221	
00000307	2.781563	
00000308	2.776928	
00000309	2.772316	
00000310	2.767728	
00000311	2.763163	
00000312	2.758620	
00000313	2.754100	
00000314	2.749602	
00000315	2.745127	
00000316	2.740673	
00000317	2.736242	
00000318	2.731832	
00000319	2.727443	
00000320	2.723076	
00000321	2.718730	
00000322	2.714405	
00000323	2.710101	
00000324	2.705817	
00000325	2.701554	
00000326	2.697311	
00000327	2.693088	
00000328	2.688885	
00000329	2.684702	
00000330	2.680539	
00000331	2.676395	
00000332	2.672270	
00000333	2.668165	
00000334	2.664079	
00000335	2.660011	
00000336	2.655963	
00000337	2.651933	
00000338	2.647921	
00000339	2.643928	
00000340	2.639953	
00000341	2.635996	
00000342	2.632057	
00000343	2.628136	
00000344	2.624232	
00000345	2.620346	
00000346	2.616477	
00000347	2.612626	
00000348	2.608791	
00000349	2.604974	
00000350	2.601174	
00000351	2.597390	
00000352	2.593623	
00000353	2.589872	
00000354	2.586138	
00000355	2.582420	
00000356	2.578718	
00000357	2.575032	
00000358	2.571362	
00000359	2.567708	
00000360	2.564070	
00000361	2.560447	
00000362	2.556839	
00000363	2.553247	
00000364	2.549671	
00000365	2.546109	
00000366	2.542562	
00000367	2.539030	
00000368	2.535513	
00000369	2.532011	
00000370	2.528524	
00000371	2.525050	
00000372	2.521592	
00000373	2.518147	
00000374	2.514717	
00000375	2.511301	
00000376	2.507899	
00000377	2.504511	
00000378	2.501136	
00000379	2.497776	
00000380	2.494429	
00000381	2.491095	
00000382	2.487775	
00000383	2.484468	
00000384	2.481175	
00000385	2.477895	
00000386	2.474628	
