X1	X2	X3	X4	X5	X6	X7	X8	X9	TARGET	Y1	
+0.262745	+0.262745	+0.258824	+0.262745	+0.262745	+0.258824	+0.305882	+0.301961	+0.298039	+0.000000	+0.008872	
+0.301961	+0.294118	+0.258824	+0.301961	+0.294118	+0.258824	+0.270588	+0.262745	+0.247059	+0.000000	+0.006481	
+0.270588	+0.341176	+0.333333	+0.250980	+0.278431	+0.325490	+0.239216	+0.266667	+0.298039	+0.000000	+0.003187	
+0.207843	+0.184314	+0.184314	+0.196078	+0.180392	+0.184314	+0.168627	+0.184314	+0.180392	+0.000000	+0.022757	
+0.254902	+0.211765	+0.243137	+0.270588	+0.282353	+0.301961	+0.207843	+0.247059	+0.258824	+0.000000	+0.020788	
+0.211765	+0.243137	+0.239216	+0.282353	+0.301961	+0.294118	+0.247059	+0.258824	+0.258824	+0.000000	+0.021481	
+0.772549	+0.780392	+0.780392	+0.768627	+0.776471	+0.784314	+0.768627	+0.772549	+0.772549	+0.000000	+0.007351	
+0.250980	+0.278431	+0.325490	+0.239216	+0.266667	+0.298039	+0.239216	+0.258824	+0.278431	+0.000000	+0.006382	
+0.309804	+0.270588	+0.282353	+0.239216	+0.207843	+0.247059	+0.827451	+0.729412	+0.529412	+0.000000	+0.017631	
+0.282353	+0.301961	+0.294118	+0.247059	+0.258824	+0.258824	+0.529412	+0.294118	+0.254902	+0.000000	+0.021657	
+0.290196	+0.278431	+0.235294	+0.278431	+0.274510	+0.235294	+0.274510	+0.274510	+0.239216	+0.000000	+0.018025	
+0.278431	+0.235294	+0.180392	+0.274510	+0.235294	+0.180392	+0.274510	+0.239216	+0.176471	+1.000000	+0.998919	
+0.192157	+0.270588	+0.262745	+0.188235	+0.270588	+0.262745	+0.188235	+0.270588	+0.262745	+1.000000	+0.996864	
+0.239216	+0.266667	+0.298039	+0.239216	+0.258824	+0.278431	+0.235294	+0.254902	+0.270588	+0.000000	+0.018574	
+0.282353	+0.274510	+0.278431	+0.282353	+0.274510	+0.294118	+0.286275	+0.282353	+0.290196	+0.000000	+0.005734	
+0.188235	+0.250980	+0.258824	+0.188235	+0.231373	+0.635294	+0.611765	+0.678431	+0.925490	+1.000000	+0.993416	
+0.274510	+0.235294	+0.180392	+0.274510	+0.239216	+0.176471	+0.266667	+0.239216	+0.176471	+1.000000	+0.997882	
+0.262745	+0.247059	+0.188235	+0.266667	+0.247059	+0.188235	+0.266667	+0.247059	+0.188235	+1.000000	+0.987419	
+0.772549	+0.776471	+0.776471	+0.772549	+0.772549	+0.784314	+0.772549	+0.772549	+0.772549	+0.000000	+0.006358	
+0.301961	+0.298039	+0.294118	+0.309804	+0.294118	+0.294118	+0.325490	+0.298039	+0.290196	+0.000000	+0.023105	
+0.290196	+0.290196	+0.282353	+0.290196	+0.294118	+0.286275	+0.290196	+0.290196	+0.282353	+0.000000	+0.022267	
+0.270588	+0.262745	+0.282353	+0.278431	+0.262745	+0.282353	+0.278431	+0.258824	+0.278431	+0.000000	+0.022103	
+0.200000	+0.270588	+0.396078	+0.200000	+0.266667	+0.380392	+0.200000	+0.258824	+0.368627	+0.000000	+0.004588	
+0.768627	+0.772549	+0.772549	+0.768627	+0.772549	+0.772549	+0.764706	+0.768627	+0.772549	+0.000000	+0.020209	
+0.235294	+0.235294	+0.254902	+0.235294	+0.235294	+0.250980	+0.231373	+0.231373	+0.243137	+0.000000	+0.006162	
+0.270588	+0.325490	+0.309804	+0.266667	+0.290196	+0.325490	+0.254902	+0.282353	+0.325490	+0.000000	+0.006555	
+0.325490	+0.309804	+0.294118	+0.290196	+0.325490	+0.298039	+0.282353	+0.325490	+0.301961	+0.000000	+0.013359	
+0.992157	+0.996078	+0.992157	+0.956863	+0.960784	+0.941176	+0.862745	+0.866667	+0.870588	+0.000000	+0.004561	
+0.992157	+0.992157	+0.992157	+0.941176	+0.909804	+0.882353	+0.870588	+0.870588	+0.874510	+1.000000	+0.999514	
+0.200000	+0.266667	+0.380392	+0.200000	+0.258824	+0.368627	+0.525490	+0.592157	+0.647059	+0.000000	+0.020572	
+0.380392	+0.768627	+0.772549	+0.368627	+0.764706	+0.768627	+0.647059	+0.839216	+0.827451	+0.000000	+0.021144	
+0.768627	+0.772549	+0.772549	+0.764706	+0.768627	+0.772549	+0.839216	+0.827451	+0.811765	+0.000000	+0.008619	
+0.235294	+0.250980	+0.266667	+0.231373	+0.243137	+0.254902	+0.239216	+0.243137	+0.254902	+0.000000	+0.018285	
+0.584314	+0.964706	+0.956863	+0.384314	+0.858824	+0.862745	+0.745098	+0.654902	+0.858824	+1.000000	+0.979893	
+0.960784	+0.941176	+0.909804	+0.866667	+0.870588	+0.870588	+0.858824	+0.862745	+0.862745	+0.000000	+0.020126	
+0.270588	+0.266667	+0.247059	+0.262745	+0.262745	+0.247059	+0.635294	+0.243137	+0.403922	+0.000000	+0.019647	
+0.278431	+0.258824	+0.278431	+0.250980	+0.258824	+0.447059	+0.819608	+0.784314	+0.764706	+1.000000	+0.999222	
+0.258824	+0.368627	+0.764706	+0.592157	+0.647059	+0.839216	+0.760784	+0.752941	+0.752941	+1.000000	+0.998531	
+0.768627	+0.772549	+0.768627	+0.827451	+0.811765	+0.780392	+0.752941	+0.760784	+0.764706	+0.000000	+0.014344	
+0.254902	+0.282353	+0.325490	+0.254902	+0.278431	+0.313726	+0.250980	+0.274510	+0.301961	+0.000000	+0.005167	
+0.592157	+0.647059	+0.839216	+0.760784	+0.752941	+0.752941	+0.690196	+0.690196	+0.694118	+0.000000	+0.020689	
+0.839216	+0.827451	+0.811765	+0.752941	+0.752941	+0.760784	+0.694118	+0.698039	+0.701961	+1.000000	+0.987308	
+0.827451	+0.811765	+0.780392	+0.752941	+0.760784	+0.764706	+0.698039	+0.701961	+0.698039	+1.000000	+0.996123	
+0.780392	+0.729412	+0.729412	+0.764706	+0.764706	+0.764706	+0.698039	+0.698039	+0.698039	+0.000000	+0.006624	
+0.807843	+0.745098	+0.654902	+0.784314	+0.749020	+0.592157	+0.737255	+0.725490	+0.611765	+1.000000	+0.996693	
+0.890196	+0.615686	+0.623529	+0.858824	+0.607843	+0.619608	+0.847059	+0.600000	+0.615686	+0.000000	+0.002632	
+0.945098	+0.972549	+0.635294	+0.941176	+0.945098	+0.752941	+0.925490	+0.937255	+0.611765	+0.000000	+0.001478	
+0.760784	+0.760784	+0.752941	+0.694118	+0.690196	+0.690196	+0.670588	+0.674510	+0.678431	+0.000000	+0.019423	
+0.298039	+0.556863	+0.980392	+0.549020	+0.984314	+0.905882	+0.682353	+0.929412	+0.819608	+1.000000	+0.989521	
+0.564706	+0.486275	+0.341176	+0.603922	+0.478431	+0.392157	+0.631373	+0.466667	+0.407843	+0.000000	+0.012644	
