Epoch	ERROR1	TIME	
00000000	530.760283	26:15:07:49
00000010	441.574005	26:15:07:49
00000020	368.924043	26:15:07:49
00000030	316.349861	26:15:07:49
00000040	281.374907	26:15:07:49
00000050	254.549674	26:15:07:49
00000060	230.674560	26:15:07:49
00000070	210.515025	26:15:07:49
00000080	193.199116	26:15:07:49
00000090	179.044195	26:15:07:49
00000100	166.526493	26:15:07:49
00000110	155.830123	26:15:07:49
00000120	147.301136	26:15:07:49
00000130	138.707047	26:15:07:49
00000140	130.239162	26:15:07:49
00000150	124.094152	26:15:07:49
00000160	117.169642	26:15:07:49
00000170	108.012951	26:15:07:49
00000180	99.253998	26:15:07:49
00000190	92.496092	26:15:07:49
00000200	87.389994	26:15:07:49
00000210	82.764937	26:15:07:49
00000220	77.072048	26:15:07:49
00000230	72.073785	26:15:07:49
00000240	67.005015	26:15:07:49
00000250	62.077030	26:15:07:49
00000260	58.717096	26:15:07:49
00000270	55.705995	26:15:07:49
00000280	53.482035	26:15:07:49
00000290	51.835420	26:15:07:49
00000300	49.863478	26:15:07:49
00000310	47.707035	26:15:07:49
00000320	45.181671	26:15:07:49
00000330	42.414153	26:15:07:49
00000340	40.698108	26:15:07:49
00000350	39.463893	26:15:07:49
00000360	38.165769	26:15:07:49
00000370	36.727280	26:15:07:49
00000380	35.305785	26:15:07:49
00000390	33.841710	26:15:07:49
00000400	32.242318	26:15:07:49
00000410	31.281846	26:15:07:49
00000420	30.579120	26:15:07:49
00000430	29.550890	26:15:07:49
00000440	27.670909	26:15:07:49
00000450	26.318572	26:15:07:49
00000460	25.418458	26:15:07:49
00000470	24.458849	26:15:07:49
00000480	23.471382	26:15:07:49
00000490	22.716503	26:15:07:49
00000500	21.676363	26:15:07:49
00000510	19.981616	26:15:07:49
00000520	19.063668	26:15:07:49
00000530	18.322919	26:15:07:49
00000540	17.609520	26:15:07:49
00000550	16.865124	26:15:07:49
00000560	15.927408	26:15:07:49
00000570	15.460188	26:15:07:49
00000580	15.142108	26:15:07:49
00000590	14.858551	26:15:07:49
00000600	14.590522	26:15:07:49
00000610	14.334883	26:15:07:49
00000620	14.088001	26:15:07:49
00000630	13.849971	26:15:07:49
00000640	13.619392	26:15:07:49
00000650	13.397012	26:15:07:49
00000660	13.181404	26:15:07:49
00000670	12.972137	26:15:07:49
00000680	12.766916	26:15:07:49
00000690	12.566235	26:15:07:49
00000700	12.368361	26:15:07:49
00000710	12.173673	26:15:07:49
00000720	11.983430	26:15:07:49
00000730	11.797435	26:15:07:49
00000740	11.614099	26:15:07:49
00000750	11.432815	26:15:07:49
00000760	11.255289	26:15:07:49
00000770	11.080871	26:15:07:49
00000780	10.909479	26:15:07:49
00000790	10.741514	26:15:07:49
00000800	10.576083	26:15:07:49
00000810	10.411994	26:15:07:49
00000820	10.250361	26:15:07:49
00000830	10.091009	26:15:07:49
00000840	9.933811	26:15:07:49
00000850	9.777545	26:15:07:49
00000860	9.623501	26:15:07:49
00000870	9.471884	26:15:07:49
00000880	9.321790	26:15:07:49
00000890	9.172570	26:15:07:49
00000900	9.025326	26:15:07:49
00000910	8.879091	26:15:07:49
00000920	8.732893	26:15:07:49
00000930	8.586941	26:15:07:49
00000940	8.441953	26:15:07:49
00000950	8.297915	26:15:07:49
00000960	8.155678	26:15:07:49
00000970	8.015536	26:15:07:49
00000980	7.876810	26:15:07:49
00000990	7.739773	26:15:07:49
