Epoch	ERROR1	TIME	
00000000	530.760283	26:15:07:49
00000001	520.020051	26:15:07:49
00000002	511.283106	26:15:07:49
00000003	502.605801	26:15:07:49
00000004	493.906767	26:15:07:49
00000005	485.092646	26:15:07:49
00000006	476.273726	26:15:07:49
00000007	467.480437	26:15:07:49
00000008	458.733521	26:15:07:49
00000009	450.077472	26:15:07:49
00000010	441.574005	26:15:07:49
00000011	433.276082	26:15:07:49
00000012	425.202703	26:15:07:49
00000013	417.375948	26:15:07:49
00000014	409.788133	26:15:07:49
00000015	402.436149	26:15:07:49
00000016	395.313266	26:15:07:49
00000017	388.410845	26:15:07:49
00000018	381.716714	26:15:07:49
00000019	375.222591	26:15:07:49
00000020	368.924043	26:15:07:49
00000021	362.817715	26:15:07:49
00000022	356.901870	26:15:07:49
00000023	351.175923	26:15:07:49
00000024	345.639528	26:15:07:49
00000025	340.293896	26:15:07:49
00000026	335.135674	26:15:07:49
00000027	330.162626	26:15:07:49
00000028	325.373902	26:15:07:49
00000029	320.769498	26:15:07:49
00000030	316.349861	26:15:07:49
00000031	312.116157	26:15:07:49
00000032	308.068208	26:15:07:49
00000033	304.203464	26:15:07:49
00000034	300.516169	26:15:07:49
00000035	296.996080	26:15:07:49
00000036	293.630015	26:15:07:49
00000037	290.402197	26:15:07:49
00000038	287.295369	26:15:07:49
00000039	284.292201	26:15:07:49
00000040	281.374907	26:15:07:49
00000041	278.526890	26:15:07:49
00000042	275.733683	26:15:07:49
00000043	272.983737	26:15:07:49
00000044	270.268885	26:15:07:49
00000045	267.584084	26:15:07:49
00000046	264.926637	26:15:07:49
00000047	262.295252	26:15:07:49
00000048	259.689221	26:15:07:49
00000049	257.107759	26:15:07:49
00000050	254.549674	26:15:07:49
00000051	252.013714	26:15:07:49
00000052	249.499683	26:15:07:49
00000053	247.009725	26:15:07:49
00000054	244.548725	26:15:07:49
00000055	242.123258	26:15:07:49
00000056	239.739653	26:15:07:49
00000057	237.402312	26:15:07:49
00000058	235.113014	26:15:07:49
00000059	232.871170	26:15:07:49
00000060	230.674560	26:15:07:49
00000061	228.520086	26:15:07:49
00000062	226.404310	26:15:07:49
00000063	224.323873	26:15:07:49
00000064	222.275143	26:15:07:49
00000065	220.254798	26:15:07:49
00000066	218.260150	26:15:07:49
00000067	216.288857	26:15:07:49
00000068	214.340584	26:15:07:49
00000069	212.415508	26:15:07:49
00000070	210.515025	26:15:07:49
00000071	208.640658	26:15:07:49
00000072	206.793582	26:15:07:49
00000073	204.974762	26:15:07:49
00000074	203.185468	26:15:07:49
00000075	201.427695	26:15:07:49
00000076	199.704144	26:15:07:49
00000077	198.017775	26:15:07:49
00000078	196.371047	26:15:07:49
00000079	194.765094	26:15:07:49
00000080	193.199116	26:15:07:49
00000081	191.670234	26:15:07:49
00000082	190.174006	26:15:07:49
00000083	188.705582	26:15:07:49
00000084	187.260220	26:15:07:49
00000085	185.835312	26:15:07:49
00000086	184.430676	26:15:07:49
00000087	183.047959	26:15:07:49
00000088	181.689209	26:15:07:49
00000089	180.355177	26:15:07:49
00000090	179.044195	26:15:07:49
00000091	177.752139	26:15:07:49
00000092	176.473510	26:15:07:49
00000093	175.203087	26:15:07:49
00000094	173.937475	26:15:07:49
00000095	172.675979	26:15:07:49
00000096	171.420687	26:15:07:49
00000097	170.174749	26:15:07:49
00000098	168.941859	26:15:07:49
00000099	167.725158	26:15:07:49
00000100	166.526493	26:15:07:49
00000101	165.347148	26:15:07:49
00000102	164.188220	26:15:07:49
00000103	163.051077	26:15:07:49
00000104	161.937136	26:15:07:49
00000105	160.848157	26:15:07:49
00000106	159.786158	26:15:07:49
00000107	158.752911	26:15:07:49
00000108	157.749528	26:15:07:49
00000109	156.775830	26:15:07:49
00000110	155.830123	26:15:07:49
00000111	154.909404	26:15:07:49
00000112	154.010002	26:15:07:49
00000113	153.128259	26:15:07:49
00000114	152.261301	26:15:07:49
00000115	151.407462	26:15:07:49
00000116	150.566016	26:15:07:49
00000117	149.736437	26:15:07:49
00000118	148.917526	26:15:07:49
00000119	148.106990	26:15:07:49
00000120	147.301136	26:15:07:49
00000121	146.495458	26:15:07:49
00000122	145.685183	26:15:07:49
