Epoch	ERROR	TIME	
00000000	61.691246	2020/10/25 17:56:22
00000010	32.824091	2020/10/25 17:56:22
00000020	18.507510	2020/10/25 17:56:22
00000030	12.540435	2020/10/25 17:56:22
00000040	10.100009	2020/10/25 17:56:22
00000050	8.690775	2020/10/25 17:56:22
00000060	7.739269	2020/10/25 17:56:22
00000070	7.040678	2020/10/25 17:56:22
00000080	6.499796	2020/10/25 17:56:22
00000090	6.065192	2020/10/25 17:56:22
00000100	5.706232	2020/10/25 17:56:22
00000110	5.403365	2020/10/25 17:56:22
00000120	5.143442	2020/10/25 17:56:22
00000130	4.917250	2020/10/25 17:56:22
00000140	4.718121	2020/10/25 17:56:22
00000150	4.541089	2020/10/25 17:56:22
00000160	4.382375	2020/10/25 17:56:22
00000170	4.239044	2020/10/25 17:56:22
00000180	4.108776	2020/10/25 17:56:22
00000190	3.989713	2020/10/25 17:56:22
00000200	3.880346	2020/10/25 17:56:22
00000210	3.779434	2020/10/25 17:56:22
00000220	3.685947	2020/10/25 17:56:22
00000230	3.599023	2020/10/25 17:56:22
00000240	3.517932	2020/10/25 17:56:22
00000250	3.442053	2020/10/25 17:56:22
00000260	3.370854	2020/10/25 17:56:22
00000270	3.303875	2020/10/25 17:56:22
00000280	3.240718	2020/10/25 17:56:22
00000290	3.181034	2020/10/25 17:56:22
00000300	3.124517	2020/10/25 17:56:22
00000310	3.070899	2020/10/25 17:56:22
00000320	3.019940	2020/10/25 17:56:22
00000330	2.971430	2020/10/25 17:56:22
00000340	2.925178	2020/10/25 17:56:22
00000350	2.881016	2020/10/25 17:56:22
00000360	2.838792	2020/10/25 17:56:22
00000370	2.798368	2020/10/25 17:56:22
00000380	2.759621	2020/10/25 17:56:22
00000390	2.722438	2020/10/25 17:56:22
00000400	2.686718	2020/10/25 17:56:22
00000410	2.652366	2020/10/25 17:56:22
00000420	2.619299	2020/10/25 17:56:22
00000430	2.587438	2020/10/25 17:56:22
00000440	2.556713	2020/10/25 17:56:22
00000450	2.527057	2020/10/25 17:56:22
00000460	2.498409	2020/10/25 17:56:22
00000470	2.470716	2020/10/25 17:56:22
00000480	2.443924	2020/10/25 17:56:22
00000490	2.417985	2020/10/25 17:56:22
00000500	2.392857	2020/10/25 17:56:22
00000510	2.368497	2020/10/25 17:56:22
00000520	2.344868	2020/10/25 17:56:22
00000530	2.321933	2020/10/25 17:56:22
00000540	2.299659	2020/10/25 17:56:22
00000550	2.278016	2020/10/25 17:56:22
00000560	2.256974	2020/10/25 17:56:22
00000570	2.236506	2020/10/25 17:56:22
00000580	2.216586	2020/10/25 17:56:22
00000590	2.197191	2020/10/25 17:56:22
00000600	2.178297	2020/10/25 17:56:22
00000610	2.159884	2020/10/25 17:56:22
00000620	2.141932	2020/10/25 17:56:22
00000630	2.124421	2020/10/25 17:56:22
00000640	2.107334	2020/10/25 17:56:22
00000650	2.090655	2020/10/25 17:56:22
00000660	2.074367	2020/10/25 17:56:22
00000670	2.058455	2020/10/25 17:56:22
00000680	2.042905	2020/10/25 17:56:22
00000690	2.027704	2020/10/25 17:56:22
00000700	2.012838	2020/10/25 17:56:22
00000710	1.998296	2020/10/25 17:56:22
00000720	1.984066	2020/10/25 17:56:22
00000730	1.970138	2020/10/25 17:56:22
00000740	1.956499	2020/10/25 17:56:22
00000750	1.943142	2020/10/25 17:56:22
00000760	1.930055	2020/10/25 17:56:22
00000770	1.917231	2020/10/25 17:56:22
00000780	1.904660	2020/10/25 17:56:22
00000790	1.892335	2020/10/25 17:56:22
00000800	1.880247	2020/10/25 17:56:22
00000810	1.868389	2020/10/25 17:56:22
00000820	1.856754	2020/10/25 17:56:22
00000830	1.845334	2020/10/25 17:56:22
00000840	1.834124	2020/10/25 17:56:22
00000850	1.823117	2020/10/25 17:56:22
00000860	1.812306	2020/10/25 17:56:22
00000870	1.801687	2020/10/25 17:56:22
00000880	1.791254	2020/10/25 17:56:22
00000890	1.781000	2020/10/25 17:56:22
00000900	1.770922	2020/10/25 17:56:22
00000910	1.761014	2020/10/25 17:56:22
00000920	1.751271	2020/10/25 17:56:22
00000930	1.741690	2020/10/25 17:56:23
00000940	1.732265	2020/10/25 17:56:23
00000950	1.722992	2020/10/25 17:56:23
00000960	1.713867	2020/10/25 17:56:23
00000970	1.704887	2020/10/25 17:56:23
00000980	1.696048	2020/10/25 17:56:23
00000990	1.687345	2020/10/25 17:56:23
